datetime,SO2,hour,dayofweek,hour_sin,hour_cos,dow_sin,dow_cos,SO2_lag_1,SO2_lag_6,SO2_lag_12,SO2_lag_24
2021-07-13 13:00:00,0.85062,13.0,1.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.78518,0.78518,0.78518,1.04691
2021-07-13 13:15:00,1.04691,13.0,1.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.85062,0.52346,0.78518,0.52346
2021-07-13 13:30:00,0.78518,13.0,1.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.85062,0.26173
2021-07-13 13:45:00,1.30864,13.0,1.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.78518,0.78518,0.78518,0.58889
2021-07-13 14:00:00,1.04691,14.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.30864,1.04691,1.04691,0.52346
2021-07-13 14:00:00,1.04691,14.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.78518,0.78518
2021-07-13 14:15:00,1.04691,14.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.04691,0.85062,0.78518,0.78518
2021-07-13 14:30:00,1.04691,14.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.04691,1.04691,0.52346,0.52346
2021-07-13 14:45:00,1.04691,14.0,1.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1.04691,0.78518,0.78518,1.04691
2021-07-13 15:00:00,1.17777,15.0,1.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1.04691,1.30864,0.78518,0.78518
2021-07-13 15:00:00,1.57037,15.0,1.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1.17777,1.04691,1.04691,1.04691
2021-07-13 15:15:00,2.09382,15.0,1.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1.57037,1.04691,0.78518,0.78518
2021-07-13 15:30:00,1.83209,15.0,1.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,2.09382,1.04691,0.85062,0.78518
2021-07-13 15:45:00,1.83209,15.0,1.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1.83209,1.04691,1.04691,0.78518
2021-07-13 16:00:00,1.83209,16.0,1.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1.83209,1.04691,0.78518,0.85062
